Actual Label,Predicted Label,Video Path,Video ID,Sampling Strategy,Video Index,Correct
mopping floor,mopping floor,kinetics-dataset/val/mopping floor/R547-iOgb6g_000029_000039.mp4,R547-iOgb6g,position-fourths,3973,True
chopping wood,chopping wood,kinetics-dataset/val/chopping wood/2kpaZvmqiYA_000005_000015.mp4,2kpaZvmqiYA,position-fourths,1141,True
kicking field goal,kicking field goal,kinetics-dataset/val/kicking field goal/glWektLp8RA_000019_000029.mp4,glWektLp8RA,position-fourths,3757,True
bungee jumping,bungee jumping,kinetics-dataset/val/bungee jumping/dAeUFSdYG1I_000010_000020.mp4,dAeUFSdYG1I,position-fourths,7061,True
skiing slalom,skiing slalom,kinetics-dataset/val/skiing slalom/RvXnfumvBvQ_000412_000422.mp4,RvXnfumvBvQ,position-fourths,3575,True
dying hair,dying hair,kinetics-dataset/val/dying hair/Aw2OtZReLDk_000136_000146.mp4,Aw2OtZReLDk,position-fourths,6345,True
checking tires,checking tires,kinetics-dataset/val/checking tires/Lvku6hKqCQ8_000234_000244.mp4,Lvku6hKqCQ8,position-fourths,4105,True
playing harp,playing harp,kinetics-dataset/val/playing harp/7TZOYU__Ta0_000053_000063.mp4,7TZOYU__Ta0,position-fourths,3662,True
snowmobiling,biking through snow,kinetics-dataset/val/snowmobiling/5bMWEMYp4PA_000071_000081.mp4,5bMWEMYp4PA,position-fourths,2811,False
making snowman,making snowman,kinetics-dataset/val/making snowman/oNSDoupp77Y_000065_000075.mp4,oNSDoupp77Y,position-fourths,5949,True
dancing gangnam style,dancing gangnam style,kinetics-dataset/val/dancing gangnam style/YaX_o9CV9Z8_000067_000077.mp4,YaX_o9CV9Z8,position-fourths,2122,True
baby waking up,crying,kinetics-dataset/val/baby waking up/lqDes8cxa1k_000022_000032.mp4,lqDes8cxa1k,position-fourths,6461,False
tossing salad,tossing salad,kinetics-dataset/val/tossing salad/RjHy8sWKvxE_000153_000163.mp4,RjHy8sWKvxE,position-fourths,5716,True
kicking field goal,kicking field goal,kinetics-dataset/val/kicking field goal/ILadFizBamw_000004_000014.mp4,ILadFizBamw,position-fourths,3753,True
spray painting,spray painting,kinetics-dataset/val/spray painting/hC-qjMRuOZU_000096_000106.mp4,hC-qjMRuOZU,position-fourths,3467,True
opening present,opening present,kinetics-dataset/val/opening present/YJebKwwXk10_000339_000349.mp4,YJebKwwXk10,position-fourths,2690,True
playing badminton,playing badminton,kinetics-dataset/val/playing badminton/p7ZdjjEjf84_000000_000010.mp4,p7ZdjjEjf84,position-fourths,5320,True
swinging on something,swinging on something,kinetics-dataset/val/swinging on something/L8xOKTssyF4_000045_000055.mp4,L8xOKTssyF4,position-fourths,4257,True
decorating the christmas tree,decorating the christmas tree,kinetics-dataset/val/decorating the christmas tree/ROnZVxdQlMI_000059_000069.mp4,ROnZVxdQlMI,position-fourths,4287,True
cleaning pool,jumping into pool,kinetics-dataset/val/cleaning pool/VD8g_9pocxk_000077_000087.mp4,VD8g_9pocxk,position-fourths,1258,False
holding snake,holding snake,kinetics-dataset/val/holding snake/M_e-bb9gJH4_000001_000011.mp4,M_e-bb9gJH4,position-fourths,6059,True
ski jumping,ski jumping,kinetics-dataset/val/ski jumping/h1YBYW1KKj0_000000_000010.mp4,h1YBYW1KKj0,position-fourths,1944,True
petting animal (not cat),feeding goats,kinetics-dataset/val/petting animal (not cat)/E3hNU_ZRhtA_000010_000020.mp4,E3hNU_ZRhtA,position-fourths,2646,False
tobogganing,tobogganing,kinetics-dataset/val/tobogganing/Q2-OmWB4YV0_000000_000010.mp4,Q2-OmWB4YV0,position-fourths,5071,True
grooming horse,grooming horse,kinetics-dataset/val/grooming horse/0nk5QJHNanE_000049_000059.mp4,0nk5QJHNanE,position-fourths,269,True
riding mountain bike,riding mountain bike,kinetics-dataset/val/riding mountain bike/CrJG-qxY1aE_000229_000239.mp4,CrJG-qxY1aE,position-fourths,5628,True
folding paper,folding paper,kinetics-dataset/val/folding paper/-dKMoooU0o4_000106_000116.mp4,-dKMoooU0o4,position-fourths,1602,True
dodgeball,dancing macarena,kinetics-dataset/val/dodgeball/c-rx2sUfp50_000067_000077.mp4,c-rx2sUfp50,position-fourths,5264,False
cleaning shoes,cleaning shoes,kinetics-dataset/val/cleaning shoes/Pyp6-89K5eM_000125_000135.mp4,Pyp6-89K5eM,position-fourths,4821,True
scuba diving,scuba diving,kinetics-dataset/val/scuba diving/Gkzm08AyOA8_001626_001636.mp4,Gkzm08AyOA8,position-fourths,4713,True
waxing legs,shaving legs,kinetics-dataset/val/waxing legs/O4Jg8RCIZsU_000041_000051.mp4,O4Jg8RCIZsU,position-fourths,6794,False
hitting baseball,hitting baseball,kinetics-dataset/val/hitting baseball/SVk63F2Qozw_000021_000031.mp4,SVk63F2Qozw,position-fourths,5148,True
folding napkins,folding napkins,kinetics-dataset/val/folding napkins/bYBIoVwZZHE_000028_000038.mp4,bYBIoVwZZHE,position-fourths,3923,True
tying tie,shuffling cards,kinetics-dataset/val/tying tie/PdsCFMJr8jA_000090_000100.mp4,PdsCFMJr8jA,position-fourths,204,False
trimming trees,swinging on something,kinetics-dataset/val/trimming trees/-1th54-55Xc_000016_000026.mp4,-1th54-55Xc,position-fourths,6615,False
abseiling,pole vault,kinetics-dataset/val/abseiling/BiKRPPjAzvw_000017_000027.mp4,BiKRPPjAzvw,position-fourths,953,False
presenting weather forecast,presenting weather forecast,kinetics-dataset/val/presenting weather forecast/E65c6MfwGvY_000000_000010.mp4,E65c6MfwGvY,position-fourths,2427,True
skiing slalom,skiing (not slalom or crosscountry),kinetics-dataset/val/skiing slalom/3I0uO2fwVCk_000020_000030.mp4,3I0uO2fwVCk,position-fourths,3566,False
brushing hair,brushing hair,kinetics-dataset/val/brushing hair/a2WgvBUiNE0_000144_000154.mp4,a2WgvBUiNE0,position-fourths,6973,True
eating burger,cooking chicken,kinetics-dataset/val/eating burger/r0PMUHMA4dc_000165_000175.mp4,r0PMUHMA4dc,position-fourths,7035,False
trapezing,marching,kinetics-dataset/val/trapezing/riZTie4HWmk_000009_000019.mp4,riZTie4HWmk,position-fourths,2019,False
drinking,eating burger,kinetics-dataset/val/drinking/r3jUXI1ZrrE_000020_000030.mp4,r3jUXI1ZrrE,position-fourths,5883,False
javelin throw,javelin throw,kinetics-dataset/val/javelin throw/CBE51_84bwI_000003_000013.mp4,CBE51_84bwI,position-fourths,2370,True
tasting beer,tasting beer,kinetics-dataset/val/tasting beer/ZQFJQ_LYgE0_000041_000051.mp4,ZQFJQ_LYgE0,position-fourths,729,True
passing American football (not in game),passing American football (not in game),kinetics-dataset/val/passing American football (not in game)/eA6hnyMAdTo_000043_000053.mp4,eA6hnyMAdTo,position-fourths,378,True
surfing crowd,surfing crowd,kinetics-dataset/val/surfing crowd/FOoHKpr1xs8_000002_000012.mp4,FOoHKpr1xs8,position-fourths,4892,True
feeding fish,feeding fish,kinetics-dataset/val/feeding fish/EaTJu3YFmcM_000000_000010.mp4,EaTJu3YFmcM,position-fourths,4510,True
frying vegetables,tossing salad,kinetics-dataset/val/frying vegetables/HdjHf9vHMok_000322_000332.mp4,HdjHf9vHMok,position-fourths,6281,False
building shed,building shed,kinetics-dataset/val/building shed/Ba9jdO3a6lY_000029_000039.mp4,Ba9jdO3a6lY,position-fourths,865,True
smoking,abseiling,kinetics-dataset/val/smoking/Ag9mJ4tEIEE_000273_000283.mp4,Ag9mJ4tEIEE,position-fourths,6690,False
hopscotch,hopscotch,kinetics-dataset/val/hopscotch/X6RGOxFUKNw_000009_000019.mp4,X6RGOxFUKNw,position-fourths,2338,True
milking cow,milking cow,kinetics-dataset/val/milking cow/0K8QJJJ6qwM_000017_000027.mp4,0K8QJJJ6qwM,position-fourths,1332,True
playing guitar,playing guitar,kinetics-dataset/val/playing guitar/Y8KzfKSlTuo_000023_000033.mp4,Y8KzfKSlTuo,position-fourths,5488,True
using computer,using computer,kinetics-dataset/val/using computer/MBuP48atKkk_000111_000121.mp4,MBuP48atKkk,position-fourths,3910,True
playing kickball,playing kickball,kinetics-dataset/val/playing kickball/Zj9bnmkcCcs_000105_000115.mp4,Zj9bnmkcCcs,position-fourths,1157,True
riding mechanical bull,riding mechanical bull,kinetics-dataset/val/riding mechanical bull/OgY8l0ZKwr0_000017_000027.mp4,OgY8l0ZKwr0,position-fourths,2957,True
mowing lawn,mowing lawn,kinetics-dataset/val/mowing lawn/V1aEMiD5c9Q_000334_000344.mp4,V1aEMiD5c9Q,position-fourths,4875,True
hugging,carrying baby,kinetics-dataset/val/hugging/j1WEtFFPVBU_000130_000140.mp4,j1WEtFFPVBU,position-fourths,3282,False
skiing (not slalom or crosscountry),skiing (not slalom or crosscountry),kinetics-dataset/val/skiing (not slalom or crosscountry)/96cq0YhXY3c_000156_000166.mp4,96cq0YhXY3c,position-fourths,6445,True
skydiving,skydiving,kinetics-dataset/val/skydiving/596b9vGtF8U_000042_000052.mp4,596b9vGtF8U,position-fourths,1572,True
making a cake,cooking egg,kinetics-dataset/val/making a cake/RDKqQKURWE0_000001_000011.mp4,RDKqQKURWE0,position-fourths,2866,False
